date,open,high,low,close
2017-07-07 07-AM,2576.01,2576.57,2568,2575.71
2017-07-07 08-AM,2575.71,2575.72,2567.52,2570.13
2017-07-07 09-AM,2570.13,2574.49,2567.61,2573.32
2017-07-07 10-AM,2573.32,2586.62,2572.09,2582.68
2017-07-07 11-AM,2582.68,2582.76,2556,2556
2017-07-07 12-PM,2556,2559.97,2532.62,2535.12
2017-07-07 01-PM,2535.12,2539,2510,2517.1
2017-07-07 02-PM,2517.1,2531,2505.26,2514.79
2017-07-07 03-PM,2514.79,2526,2490.91,2525.33
2017-07-07 04-PM,2525.33,2525.99,2515,2518.03
2017-07-07 05-PM,2518.03,2529.99,2518.02,2528.99
2017-07-07 06-PM,2528.99,2535.29,2501.1,2515.95
2017-07-07 07-PM,2515.95,2529.95,2515.66,2527.99
2017-07-07 08-PM,2527.99,2529.29,2515,2515
2017-07-07 09-PM,2515,2523.51,2493.17,2494.86
2017-07-07 10-PM,2494.86,2494.91,2473.12,2473.13
2017-07-07 11-PM,2473.13,2502.03,2472,2501.15
2017-07-08 12-AM,2501.15,2503.02,2485.98,2492.78
2017-07-08 01-AM,2492.78,2493,2471.22,2476
2017-07-08 02-AM,2476,2494.92,2476,2483.36
2017-07-08 03-AM,2483.36,2501.18,2478.22,2500
2017-07-08 04-AM,2500,2529.18,2500,2525.96
2017-07-08 05-AM,2525.96,2529.99,2504.87,2517.11
2017-07-08 06-AM,2517.11,2518.44,2491.19,2502.46
2017-07-08 07-AM,2502.46,2523.95,2497.08,2498.58
2017-07-08 08-AM,2498.58,2513.29,2492.29,2513.29
2017-07-08 09-AM,2513.29,2518.64,2504.48,2514.9
2017-07-08 10-AM,2514.9,2525.71,2506.45,2520
2017-07-08 11-AM,2520,2521.31,2500.12,2508.25
2017-07-08 12-PM,2508.25,2537.33,2508.25,2525.87
2017-07-08 01-PM,2525.87,2529.44,2522.45,2525.48
2017-07-08 02-PM,2525.48,2533.69,2521.48,2533.67
2017-07-08 03-PM,2533.67,2533.67,2521.55,2526.18
2017-07-08 04-PM,2526.18,2533.69,2523.07,2524.57
2017-07-08 05-PM,2524.57,2524.59,2506.41,2509.02
2017-07-08 06-PM,2509.02,2533.69,2509,2533.69
2017-07-08 07-PM,2533.69,2549,2521.51,2541.86
2017-07-08 08-PM,2541.86,2553,2540.23,2541.41
2017-07-08 09-PM,2541.41,2547.48,2541.01,2541.67
2017-07-08 10-PM,2541.67,2563.5,2541.07,2561.88
2017-07-08 11-PM,2561.88,2561.88,2552.68,2561.11
2017-07-09 12-AM,2561.11,2572.93,2560,2565.42
2017-07-09 01-AM,2565.42,2566.95,2556.99,2564.37
2017-07-09 02-AM,2564.37,2565,2555.01,2564.66
2017-07-09 03-AM,2564.66,2569.83,2560,2566.99
2017-07-09 04-AM,2566.99,2579.84,2566.13,2572.95
2017-07-09 05-AM,2572.95,2572.95,2555,2559.39
2017-07-09 06-AM,2559.39,2560.46,2548.5,2555.95
2017-07-09 07-AM,2555.95,2557,2548.53,2549.65
2017-07-09 08-AM,2549.65,2550.42,2548.5,2548.63
2017-07-09 09-AM,2548.63,2556.28,2548.5,2553.98
2017-07-09 10-AM,2553.98,2559.09,2550.02,2554.6
2017-07-09 11-AM,2554.6,2559.46,2550.94,2553.34
2017-07-09 12-PM,2553.34,2555.88,2548.5,2552.78
2017-07-09 01-PM,2552.78,2557.24,2524.17,2552.33
2017-07-09 02-PM,2552.33,2557.4,2551.06,2556.92
2017-07-09 03-PM,2556.92,2567.43,2556.92,2559.32
2017-07-09 04-PM,2559.32,2561.96,2553.62,2555.67
2017-07-09 05-PM,2555.67,2555.7,2552.44,2553.79
2017-07-09 06-PM,2553.79,2554.79,2539.42,2539.82
2017-07-09 07-PM,2539.82,2543.62,2520.44,2542.72
2017-07-09 08-PM,2542.72,2545.8,2537.36,2538.99
2017-07-09 09-PM,2538.99,2539.95,2528.08,2535
2017-07-09 10-PM,2535,2535.89,2512.37,2522.98
2017-07-09 11-PM,2522.98,2522.99,2500,2508.99
2017-07-10 12-AM,2508.99,2514.12,2495.5,2497.15
2017-07-10 01-AM,2497.15,2517,2495.93,2517
2017-07-10 02-AM,2517,2523,2495.78,2514.86
2017-07-10 03-AM,2514.86,2514.86,2510,2511.02
2017-07-10 04-AM,2511.02,2513.38,2499.3,2512.94
2017-07-10 05-AM,2512.94,2517.3,2510,2516.73
2017-07-10 06-AM,2516.73,2516.84,2509.63,2516.29
2017-07-10 07-AM,2516.29,2520.99,2513.38,2515.91
2017-07-10 08-AM,2515.91,2516.81,2513.38,2515
2017-07-10 09-AM,2515,2520.79,2512.35,2517.83
2017-07-10 10-AM,2517.83,2519.96,2508.25,2514.75
2017-07-10 11-AM,2514.75,2515.14,2492.66,2494.88
2017-07-10 12-PM,2494.88,2501.07,2460,2470
2017-07-10 01-PM,2470,2481.23,2419.69,2430.73
2017-07-10 02-PM,2430.73,2444,2376,2403.21
2017-07-10 03-PM,2403.21,2425.46,2369.71,2383.14
2017-07-10 04-PM,2383.14,2429.85,2383.13,2412.81
2017-07-10 05-PM,2412.81,2426.77,2401,2420.19
2017-07-10 06-PM,2420.19,2420.19,2390,2399.22
2017-07-10 07-PM,2399.22,2419.41,2397.11,2404.61
2017-07-10 08-PM,2404.61,2409.06,2365,2390
2017-07-10 09-PM,2390,2390,2330.05,2341.31
2017-07-10 10-PM,2341.31,2363.65,2315.24,2332.92
2017-07-10 11-PM,2332.92,2348.98,2250,2331.05
2017-07-11 12-AM,2331.05,2377.42,2329.68,2363.43
2017-07-11 01-AM,2363.43,2377.85,2354.55,2373.38
2017-07-11 02-AM,2373.38,2381.04,2325.52,2361.5
2017-07-11 03-AM,2361.5,2368,2318.65,2333.3
2017-07-11 04-AM,2333.3,2340,2290.94,2326.78
2017-07-11 05-AM,2326.78,2352.14,2325.99,2331.47
2017-07-11 06-AM,2331.47,2331.5,2265,2280
2017-07-11 07-AM,2280,2350,2277.85,2345.59
2017-07-11 08-AM,2345.59,2347.9,2324.55,2325.01
2017-07-11 09-AM,2325.01,2362.9,2322.34,2362.9
2017-07-11 10-AM,2362.9,2371.97,2342.85,2358.24
2017-07-11 11-AM,2358.24,2374.99,2353.17,2360.1
2017-07-11 12-PM,2360.1,2408.76,2359.98,2408.02
2017-07-11 01-PM,2408.02,2410,2351.84,2374.97
2017-07-11 02-PM,2374.97,2377.04,2335,2368.96
2017-07-11 03-PM,2368.96,2373.46,2360,2365.7
2017-07-11 04-PM,2365.7,2368.96,2356.02,2360.5
2017-07-11 05-PM,2360.5,2365.8,2355.62,2361.42
2017-07-11 06-PM,2361.42,2362.27,2339.98,2346.82
2017-07-11 07-PM,2346.82,2350.5,2309,2310.83
2017-07-11 08-PM,2310.83,2337.23,2309.01,2333.01
2017-07-11 09-PM,2333.01,2343.99,2324.14,2329.63
2017-07-11 10-PM,2329.63,2356.73,2322.41,2341.45
2017-07-11 11-PM,2341.45,2342.5,2300,2310.01
2017-07-12 12-AM,2310.01,2310.01,2262.73,2281.8
2017-07-12 01-AM,2281.8,2293.24,2260,2260.3
2017-07-12 02-AM,2260.3,2268.89,2250,2255.49
2017-07-12 03-AM,2255.49,2293.72,2254,2261.42
2017-07-12 04-AM,2261.42,2322.03,2258.25,2311.11
2017-07-12 05-AM,2311.11,2313.98,2290,2300.75
2017-07-12 06-AM,2300.75,2311.15,2293.5,2303.08
2017-07-12 07-AM,2303.08,2309.99,2291.28,2309.27
2017-07-12 08-AM,2309.27,2328.62,2297.03,2323.6
2017-07-12 09-AM,2323.6,2344.69,2323.56,2337
2017-07-12 10-AM,2337,2343.52,2321.54,2338.54
